date,category_id,category_title,revenue
2023-09-01,1,Wine,147441792.0
2023-10-01,1,Wine,153878320.0
2023-11-01,1,Wine,139429104.0
2023-12-01,1,Wine,141725280.0
2024-01-01,1,Wine,137350736.0
2024-02-01,1,Wine,138286528.0
2024-03-01,1,Wine,146728960.0
2024-04-01,1,Wine,144826464.0
2024-05-01,1,Wine,143664912.0
2024-06-01,1,Wine,136834176.0
2024-07-01,1,Wine,127616832.0
2024-08-01,1,Wine,130796512.0
2024-09-01,1,Wine,135895536.0
2024-10-01,1,Wine,127784408.0
2024-11-01,1,Wine,122719248.0
2024-12-01,1,Wine,118824584.0
2025-01-01,1,Wine,120871256.0
2025-02-01,1,Wine,130290040.0
2023-09-01,2,Champagne & Sparkling Wine,171709856.0
2023-10-01,2,Champagne & Sparkling Wine,177745184.0
2023-11-01,2,Champagne & Sparkling Wine,169162320.0
2023-12-01,2,Champagne & Sparkling Wine,182446176.0
2024-01-01,2,Champagne & Sparkling Wine,183195072.0
2024-02-01,2,Champagne & Sparkling Wine,180016832.0
2024-03-01,2,Champagne & Sparkling Wine,178996288.0
2024-04-01,2,Champagne & Sparkling Wine,178426480.0
2024-05-01,2,Champagne & Sparkling Wine,166729520.0
2024-06-01,2,Champagne & Sparkling Wine,182763056.0
2024-07-01,2,Champagne & Sparkling Wine,185623472.0
2024-08-01,2,Champagne & Sparkling Wine,182320096.0
2024-09-01,2,Champagne & Sparkling Wine,178391408.0
2024-10-01,2,Champagne & Sparkling Wine,178332704.0
2024-11-01,2,Champagne & Sparkling Wine,180634624.0
2024-12-01,2,Champagne & Sparkling Wine,179448368.0
2025-01-01,2,Champagne & Sparkling Wine,183279680.0
2025-02-01,2,Champagne & Sparkling Wine,180360976.0
2023-09-01,3,Whiskey,627981696.0
2023-10-01,3,Whiskey,612132544.0
2023-11-01,3,Whiskey,663688640.0
2023-12-01,3,Whiskey,642335616.0
2024-01-01,3,Whiskey,627836352.0
2024-02-01,3,Whiskey,632480128.0
2024-03-01,3,Whiskey,530869088.0
2024-04-01,3,Whiskey,566634624.0
2024-05-01,3,Whiskey,528976288.0
2024-06-01,3,Whiskey,589837696.0
2024-07-01,3,Whiskey,582262016.0
2024-08-01,3,Whiskey,560850688.0
2024-09-01,3,Whiskey,563250944.0
2024-10-01,3,Whiskey,559840320.0
2024-11-01,3,Whiskey,553776192.0
2024-12-01,3,Whiskey,554909312.0
2025-01-01,3,Whiskey,635157568.0
2025-02-01,3,Whiskey,570613120.0
2023-09-01,4,Cognac & Brandy,104149776.0
2023-10-01,4,Cognac & Brandy,107753840.0
2023-11-01,4,Cognac & Brandy,111377312.0
2023-12-01,4,Cognac & Brandy,112971008.0
2024-01-01,4,Cognac & Brandy,111298032.0
2024-02-01,4,Cognac & Brandy,125792992.0
2024-03-01,4,Cognac & Brandy,110008272.0
2024-04-01,4,Cognac & Brandy,132411408.0
2024-05-01,4,Cognac & Brandy,106856424.0
2024-06-01,4,Cognac & Brandy,128027184.0
2024-07-01,4,Cognac & Brandy,122119264.0
2024-08-01,4,Cognac & Brandy,123084376.0
2024-09-01,4,Cognac & Brandy,83031304.0
2024-10-01,4,Cognac & Brandy,108420456.0
2024-11-01,4,Cognac & Brandy,111256280.0
2024-12-01,4,Cognac & Brandy,105181872.0
2025-01-01,4,Cognac & Brandy,94214000.0
2025-02-01,4,Cognac & Brandy,121762024.0
2023-09-01,5,Vodka,96219536.0
2023-10-01,5,Vodka,89195672.0
2023-11-01,5,Vodka,96462760.0
2023-12-01,5,Vodka,94027760.0
2024-01-01,5,Vodka,98800952.0
2024-02-01,5,Vodka,115448248.0
2024-03-01,5,Vodka,95115440.0
2024-04-01,5,Vodka,94490792.0
2024-05-01,5,Vodka,117022752.0
2024-06-01,5,Vodka,115654928.0
2024-07-01,5,Vodka,116704464.0
2024-08-01,5,Vodka,116240560.0
2024-09-01,5,Vodka,110999040.0
2024-10-01,5,Vodka,111571624.0
2024-11-01,5,Vodka,97420640.0
2024-12-01,5,Vodka,97594472.0
2025-01-01,5,Vodka,111573728.0
2025-02-01,5,Vodka,114871608.0
